sqft_living,price
1340,313000.0
3650,2384000.0
1930,342000.0
2000,420000.0
1940,550000.0
880,490000.0
1350,335000.0
2710,482000.0
2430,452500.0
1520,640000.0
1710,463000.0
2920,1400000.0
2330,588500.0
1090,365000.0
2910,1200000.0
1200,242500.0
1570,419000.0
3110,367500.0
1370,257950.0
1180,275000.0
2240,750000.0
1450,435000.0
1750,626000.0
2730,612500.0
1600,495000.0
2090,285000.0
2360,615000.0
2200,698000.0
2820,675000.0
2600,790000.0
1560,382500.0
2860,499950.0
1820,650000.0
2820,625000.0
3630,400000.0
3240,604000.0
800,440000.0
1850,287200.0
1960,403000.0
2390,750000.0
1580,335000.0
1480,260000.0
850,308500.0
1770,439950.0
1210,235000.0
1160,315000.0
1970,437500.0
1930,407500.0
1270,445700.0
3310,838000.0
2710,630000.0
2910,550000.0
2710,805000.0
1800,284000.0
2210,470000.0
1920,430000.0
2190,491500.0
3660,785000.0
1320,385000.0
1630,295000.0
3310,555000.0
2680,459990.0
2730,625000.0
2540,300000.0
2920,625000.0
900,553000.0
1650,379880.0
1010,310000.0
2680,775000.0
2200,365000.0
2530,331950.0
2850,783500.0
2280,628000.0
1900,560000.0
1330,900000.0
1270,531000.0
2170,831000.0
2730,780000.0
2120,755000.0
2490,705380.0
1990,627000.0
3690,865000.0
2540,580000.0
1800,410000.0
2340,485000.0
2110,400000.0
1140,549000.0
1480,620000.0
1410,405000.0
1200,232000.0
3180,800866.0
2160,650000.0
2920,823000.0
2350,770000.0
1560,524000.0
2740,541125.0
1680,670000.0
3090,384900.0
1410,406100.0
4010,1395000.0
3180,736500.0
2010,570000.0
1330,787000.0
2370,328000.0
1840,435000.0
2910,499000.0
2070,501000.0
4340,1090000.0
840,400000.0
1240,220000.0
1390,657100.0
2310,309950.0
1050,300000.0
2550,525888.0
2010,740000.0
1120,340000.0
2230,398750.0
810,206000.0
3190,1030000.0
1670,600000.0
1970,379950.0
1450,287000.0
13540,2280000.0
1880,309950.0
1880,600000.0
1410,418000.0
1480,449250.0
1140,329950.0
1920,245000.0
2910,549000.0
3240,800000.0
1550,249950.0
2050,210000.0
2220,1425000.0
1770,585000.0
2300,615000.0
1800,618500.0
2010,487585.0
1790,509900.0
2440,631625.0
1940,555000.0
1160,340000.0
3400,830000.0
4420,890000.0
1571,366750.0
1620,415000.0
1408,416286.0
3040,478000.0
4490,890000.0
1590,419190.0
2450,712198.0
1440,397000.0
1100,450000.0
1350,353000.0
2150,609000.0
1490,234000.0
2000,561000.0
1030,469000.0
720,329350.0
2020,488000.0
1580,279900.0
2110,606000.0
1300,312000.0
1630,650000.0
3370,1135000.0
1890,325000.0
1520,425000.0
900,219000.0
1050,250000.0
1260,390000.0
3470,475000.0
2290,736000.0
2810,407000.0
1650,272000.0
1640,362000.0
1850,535000.0
2000,284000.0
1410,367500.0
1500,379900.0
2460,520000.0
1010,175000.0
1230,460000.0
2331,345000.0
2240,455000.0
2450,610000.0
3100,563000.0
2060,612500.0
1850,218000.0
1840,404000.0
3740,860000.0
1420,136500.0
1510,313950.0
2130,575000.0
3490,1225000.0
1630,280000.0
1790,515000.0
2000,513000.0
2260,599000.0
3030,685000.0
1310,365000.0
3880,762300.0
3760,1580000.0
3040,562000.0
2910,530000.0
2970,525000.0
1660,484000.0
3200,725126.0
2680,360000.0
1230,387000.0
2740,483500.0
3380,655500.0
1110,345000.0
1800,533000.0
1900,385000.0
930,675000.0
1690,197000.0
1420,485000.0
4510,1870000.0
1980,295000.0
1170,499000.0
2200,1050000.0
800,191000.0
1480,500000.0
2890,390000.0
2690,979000.0
3569,580000.0
1270,369950.0
4490,1800000.0
3040,776000.0
1170,519950.0
2060,255000.0
990,495000.0
2430,510000.0
4460,1150000.0
1250,253000.0
1540,503000.0
1600,275000.0
1110,249000.0
1840,310000.0
2520,750000.0
2680,630000.0
3830,599999.0
2410,758000.0
1720,248500.0
2070,310000.0
1760,460000.0
1680,675000.0
1550,526000.0
4120,560000.0
1830,415000.0
1400,246000.0
1870,314500.0
6210,3200000.0
1040,420000.0
2720,535000.0
1010,350000.0
1580,515000.0
2600,749950.0
1920,230000.0
2350,568000.0
1100,250000.0
2510,581000.0
3240,651000.0
2460,600000.0
1010,500000.0
820,475000.0
2420,352000.0
1770,420000.0
1350,428000.0
1960,599000.0
3305,492000.0
2550,630000.0
4130,900000.0
2310,1110000.0
1650,575000.0
2650,705000.0
1890,940000.0
2190,313000.0
2030,618080.0
2270,640000.0
1610,485000.0
760,300000.0
1640,379500.0
1630,339950.0
3560,1500000.0
2960,1340000.0
1940,500000.0
1410,239900.0
1040,314950.0
820,361280.0
910,100000.0
3700,540000.0
2180,480500.0
1600,280000.0
1500,440000.0
1340,530000.0
1860,560000.0
2540,775000.0
1040,160000.0
1380,209950.0
1640,226500.0
3000,380000.0
2140,409500.0
1760,690000.0
1660,405000.0
1830,375000.0
2210,794154.0
1490,185000.0
1260,245000.0
4270,1532500.0
3900,1040000.0
1150,425000.0
2656,495000.0
2410,365000.0
1606,417250.0
820,339950.0
1540,615000.0
2090,403000.0
3160,980000.0
1730,258000.0
1670,533000.0
2550,537500.0
3040,830000.0
1250,712000.0
2020,262000.0
2660,753888.0
980,134000.0
1960,402000.0
720,205000.0
1360,553650.0
1870,559950.0
2130,260000.0
1810,270000.0
2200,295000.0
1690,719000.0
1940,266000.0
2320,325900.0
2060,647500.0
3410,1039000.0
2250,569000.0
1390,246000.0
1060,515000.0
1490,207000.0
2480,780000.0
2440,489990.0
2240,335000.0
1920,295000.0
1890,385000.0
2250,350000.0
1270,235000.0
960,358000.0
3290,716500.0
2000,228000.0
1020,405000.0
1840,538000.0
1980,530000.0
3510,1750000.0
1230,636000.0
2280,535000.0
2430,1500000.0
2920,868500.0
2280,530000.0
1510,450000.0
950,230000.0
1190,229000.0
